"2024/08/02 3:09:52 PM GMT+7","whiska","> 60 tahun","GAGA JALAPENO LV","Setiap hari lebih dari 1 bungkus"
"2024/08/02 3:10:43 PM GMT+7","agoi","< 15 tahun","indimie kecap benteng lv100","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 3:11:37 PM GMT+7","izmi","45 tahun - 60 tahun","sarimie goreng kuah meledak","Setiap hari lebih dari 1 bungkus"
"2024/08/02 3:12:16 PM GMT+7","isyu","30 tahun - 45 tahun","sedap jos awe awe","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 3:12:54 PM GMT+7","kuzan","> 60 tahun","mie 100","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 3:13:19 PM GMT+7","aokiji","> 60 tahun","indomie kuah santan","Setiap hari 1 bungkus"
"2024/08/02 3:13:42 PM GMT+7","kainu","< 15 tahun","nig","Setiap hari lebih dari 1 bungkus"
"2024/08/02 3:14:13 PM GMT+7","ismoi","15 tahun - 29 tahun","level 20 pangkat 3 indome","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 3:16:09 PM GMT+7","Ratih Ajeng G. ","30 tahun - 45 tahun","Sarimi - kuah - ayam bawang","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 3:19:18 PM GMT+7","MS","45 tahun - 60 tahun","Indomie - goreng - original","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 3:27:15 PM GMT+7","B","15 tahun - 29 tahun","Indomie-goreng-original","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 3:35:59 PM GMT+7","MGH","15 tahun - 29 tahun","Indomie - goreng - original ","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 4:02:38 PM GMT+7","Nezuko","15 tahun - 29 tahun","Selera pedas - kuah","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 4:33:26 PM GMT+7","Lian","30 tahun - 45 tahun","Indomie Goreng ","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 4:33:58 PM GMT+7","Tika","15 tahun - 29 tahun","Indomie rebus ayam bawang ","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 4:38:27 PM GMT+7","R","30 tahun - 45 tahun","Sedap. Ayambawang","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 4:48:21 PM GMT+7","AKS","15 tahun - 29 tahun","Gaga-kuah-jalapeno","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 4:52:17 PM GMT+7","RIN","45 tahun - 60 tahun","Indomie - Kuah - Kari - isi 1 + sayur","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 4:52:31 PM GMT+7","Bsy","45 tahun - 60 tahun","Indomie - goreng - aceh","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 5:01:19 PM GMT+7","Emi","30 tahun - 45 tahun","Indomie kuah ayam bawang","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 5:14:57 PM GMT+7","SS","45 tahun - 60 tahun","Indomie - kuah - ayam bawang","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
